COID,name,copolymer_type,CUID_1,monomer_1_name,SMILES_1,CUID_2,monomer_2_name,SMILES_2,ratio_1,ratio_unit,Tg_C,Tg_method,Mn,Mw,reference,sample_id,notes
P900001,poly[(acrylic acid)-co-(butyl acrylate)],U,CU040006,PBA,CCCCOC(=O)C(C*)*,CU040001,PAA,*C(C(=O)O)C*,97,mol%,-42,DSC,,417600,"Kim, Hyun-Joong; Mizumachi, Hiroshi,Journal of Applied Polymer Science,58,10,1891-1899,1995",0014863-001-002-001,
P900002,poly[(acrylic acid)-co-(ethyl acrylate)],U,CU040003,poly(ethyl acrylate),CCOC(=O)C(C*)*,CU040001,PAA,*C(C(=O)O)C*,86,wt%,15,DMA,,,"Bott, R. H.; Kuphal, J. A.; Robeson, L. M.; Sagl, D.,Journal of Applied Polymer Science,58,9,1593-1605,1995",0014878-032-001-001,
P900002,poly[(acrylic acid)-co-(ethyl acrylate)],U,CU040003,poly(ethyl acrylate),CCOC(=O)C(C*)*,CU040001,PAA,*C(C(=O)O)C*,90,wt%,2,DSC,,,"Bott, R. H.; Kuphal, J. A.; Robeson, L. M.; Sagl, D.,Journal of Applied Polymer Science,58,9,1593-1605,1995",0014878-039-001-001,
P900002,poly[(acrylic acid)-co-(ethyl acrylate)],U,CU040003,poly(ethyl acrylate),CCOC(=O)C(C*)*,CU040001,PAA,*C(C(=O)O)C*,77,wt%,28,DSC,,,"Bott, R. H.; Kuphal, J. A.; Robeson, L. M.; Sagl, D.,Journal of Applied Polymer Science,58,9,1593-1605,1995",0014878-039-002-001,
P900002,poly[(acrylic acid)-co-(ethyl acrylate)],U,CU040003,poly(ethyl acrylate),CCOC(=O)C(C*)*,CU040001,PAA,*C(C(=O)O)C*,55,wt%,42,DSC,,,"Bott, R. H.; Kuphal, J. A.; Robeson, L. M.; Sagl, D.,Journal of Applied Polymer Science,58,9,1593-1605,1995",0014878-039-003-001,
P900003,poly[ethene-co-(acrylic acid)],U,CU040001,PAA,*C(C(=O)O)C*,CU010001,PE,*C*,,,-24,DSC,,,"Fawcett, A. H.; McNally, T.,Macromolecular Materials and Engineering,286,2,126-137,2001",0023400-002-001-001,
P900003,poly[ethene-co-(acrylic acid)],U,CU040001,PAA,*C(C(=O)O)C*,CU010001,PE,*C*,,,-6,DSC,,,"Fawcett, A. H.; McNally, T.,Macromolecular Materials and Engineering,286,2,126-137,2001",0023400-003-001-001,
P900003,poly[ethene-co-(acrylic acid)],U,CU040001,PAA,*C(C(=O)O)C*,CU010001,PE,*C*,,,0,DSC,,,"Fawcett, A. H.; McNally, T.,Macromolecular Materials and Engineering,286,2,126-137,2001",0023400-004-001-001,
P900003,poly[ethene-co-(acrylic acid)],U,CU040001,PAA,*C(C(=O)O)C*,CU010001,PE,*C*,,,-7,DSC,,,"Fawcett, A. H.; McNally, T.,Macromolecular Materials and Engineering,286,2,126-137,2001",0023400-005-001-001,
P900003,poly[ethene-co-(acrylic acid)],U,CU040001,PAA,*C(C(=O)O)C*,CU010001,PE,*C*,7,wt%,14,DMA,,,"Wakabayashi, Katsuyuki; Register, Richard A.,Polymer,46,20,8838-8845,2005",0030284-002-001-001,
